X,Y,Name,Address1,Address2,Address3,Phone,Eircode,Website,Division,Divisional_HQ,Divisional_HQ_Phone,District,District_HQ,District_HQ_Phone,Opening_Hours,LAT,LONG,ObjectId
-689184.85841729,7097459.78088026,Balbriggan Garda Station,Drogheda Road,Balbriggan,Co. Dublin,+353 1 8020510,K32WE01,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Balbriggan,Balbriggan,+353 1 8020510,Open 24hrs ,53.61437815,-6.191052919,1
-679823.85671927,7090934.40603191,Skerries Garda Station,Strand Street,Skerries,Co. Dublin,+353 1 8491211,K34F682,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Balbriggan,Balbriggan,+353 1 8020510,Closes at 9pm,53.57959038,-6.10696161,2
-686544.630268078,7080412.35937462,Lusk Garda Station,Dublin Road,Lusk,Co. Dublin,+353 1 8437222,K45YH94,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Balbriggan,Balbriggan,+353 1 8020510,Closes at 9pm ,53.52343539,-6.167335346,3
-684826.043901696,7066880.77753613,Malahide Garda Station,1-2 St. James Terrace,Malahide,Co. Dublin,+353 1 6664600,K36NH50,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Coolock,Coolock,+353 1 6664282,Closes at 9pm ,53.45110927,-6.151897022,4
-692536.890329951,7067807.61531483,Swords Garda Station,Main Street,Swords,Co. Dublin,+353 1 6664700,K36RF70,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Coolock,Coolock,+353 1 6664282,Open 24hrs ,53.45606714,-6.221164734,5
-695194.784548394,7062894.35437295,Dublin Airport Garda Station,Dublin Airport,Cloghran,Co. Dublin,+353 1 6664950,K67RW90,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Ballymun,Ballymun,+353 1 6664483,Closes at 9pm ,53.42977837,-6.245041004,6
-675595.49039049,7054972.02007239,Howth Garda Station,Dunbo Hill,Howth,Co. Dublin,+353 1 6664900,D13RY70,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Raheny,Raheny,+353 1 6664382,Closes at 9pm,53.38735506,-6.068977549,7
-710649.064293403,7088583.76036922,Garristown Garda Station,Garristown,Co. Dublin,,+353 1 8354112,A42C443,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Balbriggan,Balbriggan,+353 1 8020510,Closes at 9pm ,53.56705171,-6.383869161,8
-710304.150202017,7055425.39146835,Blanchardstown Garda Station,Main Street,Blanchardstown,Dublin 15,+353 1 6667000,D15F6V9,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Western Division,Blanchardstown,+353 1 6667000,Blanchardstown,Blanchardstown,+353 1 6667082,Open 24hrs ,53.38978396,-6.380770745,9
-712108.590501158,7078155.60933178,Ashbourne Garda Station,Ashbourne,Co. Meath,,+353 1 8010600,A84P891,http://www.garda.ie/Stations/Default.aspx,Meath Division,Navan,+353 46 9036300,Ashbourne,Ashbourne,+353 1 8010600,Open 24hrs ,53.51138166,-6.396980308,10
-721012.267352031,7061245.30655285,Dunboyne Garda Station,Dunboyne,Co. Meath,,+353 1 8252211,A86N407,http://www.garda.ie/Stations/Default.aspx,Meath Division,Navan,+353 46 9036300,Ashbourne,Ashbourne,+353 1 8010600,Closes at 9pm ,53.42095137,-6.476963398,11
-723391.481351595,7051260.65772508,Leixlip Garda Station,Leixlip,Co. Kildare,,+353 1 6667800,W32P215,http://www.garda.ie/Stations/Default.aspx,Kildare Division,Naas,+353 45 884311,Leixlip,Leixlip,+353 1 6667800,Open 24hrs,53.36746653,-6.498336241,12
-718084.126813291,7049137.56175916,Lucan Garda Station,Main Street,Lucan,Co. Dublin,+353 1 6667300,K78V383,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Western Division,Blanchardstown,+353 1 6667000,Lucan,Lucan,+353 1 6667382,Open 24hrs ,53.35608506,-6.450659464,13
-702072.113598912,7055404.38450837,Finglas Garda Station,Mellowes Road,Finglas,Dublin 11,+353 1 6667500,D11HF29,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Western Division,Blanchardstown,+353 1 6667000,Blanchardstown,Blanchardstown,+353 1 6667082,Open 24hrs,53.38967142,-6.306821102,14
-697279.884883557,7056320.32386424,Ballymun Garda Station,Main Street,Ballymun,Dublin 9,+353 1 6664400,D09F9C5,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Ballymun,Ballymun,+353 1 6664483,Open 24hrs ,53.39457808,-6.263771779,15
