Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2016-10-14 19:00:00.000 +0200,Mostly Cloudy,null,10.88333333,10.88333333,0.72,12.1716,80,16.1,0,1020.97,Foggy until morning.
2016-10-14 20:00:00.000 +0200,Mostly Cloudy,null,10,8.338888889,0.76,11.914,79,15.1823,0,1020.81,Foggy until morning.
2016-10-14 21:00:00.000 +0200,Mostly Cloudy,null,9.761111111,8.077777778,0.77,11.753,80,16.1,0,1020.57,Foggy until morning.
2016-10-14 22:00:00.000 +0200,Mostly Cloudy,null,9.672222222,7.944444444,0.75,11.8979,84,16.1,0,1020.42,Foggy until morning.
2016-10-14 23:00:00.000 +0200,Mostly Cloudy,null,9.4,7.466666667,0.77,12.9605,88,15.1823,0,1020.09,Foggy until morning.
2016-10-15 00:00:00.000 +0200,Mostly Cloudy,null,9.355555556,7.427777778,0.77,12.8478,97,16.1,0,1019.89,Drizzle starting in the evening.
2016-10-15 01:00:00.000 +0200,Mostly Cloudy,null,9.055555556,7.238888889,0.77,11.6403,108,16.1,0,1019.69,Drizzle starting in the evening.
2016-10-15 02:00:00.000 +0200,Overcast,null,8.727777778,7.055555556,0.78,10.3845,103,15.1823,0,1019.43,Drizzle starting in the evening.
2016-10-15 03:00:00.000 +0200,Overcast,null,8.333333333,6.405555556,0.79,11.3988,107,12.2199,0,1019.13,Drizzle starting in the evening.
2016-10-15 04:00:00.000 +0200,Mostly Cloudy,null,8.3,6.105555556,0.8,13.0571,109,12.2199,0,1018.71,Drizzle starting in the evening.
2016-10-15 05:00:00.000 +0200,Mostly Cloudy,null,8.555555556,6.527777778,0.79,12.3165,112,11.8818,0,1018.78,Drizzle starting in the evening.
2016-10-15 06:00:00.000 +0200,Mostly Cloudy,null,8.244444444,5.961111111,0.8,13.5562,115,11.9784,0,1018.59,Drizzle starting in the evening.
2016-10-15 07:00:00.000 +0200,Mostly Cloudy,null,7.938888889,5.844444444,0.83,11.9462,123,11.8979,0,1018.83,Drizzle starting in the evening.
2016-10-15 08:00:00.000 +0200,Mostly Cloudy,null,8.688888889,6.705555556,0.8,12.2038,129,9.9015,0,1019.13,Drizzle starting in the evening.
2016-10-15 09:00:00.000 +0200,Mostly Cloudy,null,10.05,10.05,0.75,13.524,135,9.982,0,1019.17,Drizzle starting in the evening.
2016-10-15 10:00:00.000 +0200,Mostly Cloudy,null,11.12222222,11.12222222,0.71,17.9193,141,10.2557,0,1019.03,Drizzle starting in the evening.
2016-10-15 11:00:00.000 +0200,Overcast,null,12.35555556,12.35555556,0.67,18.1447,144,15.5526,0,1018.71,Drizzle starting in the evening.
2016-10-15 12:00:00.000 +0200,Overcast,null,14.01666667,14.01666667,0.62,18.0159,148,10.2557,0,1018.32,Drizzle starting in the evening.
2016-10-15 13:00:00.000 +0200,Overcast,null,15.26111111,15.26111111,0.58,15.8907,150,10.2557,0,1018.22,Drizzle starting in the evening.
2016-10-15 14:00:00.000 +0200,Overcast,null,16.13888889,16.13888889,0.57,12.9766,150,10.5777,0,1018.06,Drizzle starting in the evening.
2016-10-15 15:00:00.000 +0200,Overcast,rain,16.28888889,16.28888889,0.58,10.6582,154,16.1,0,1018.13,Drizzle starting in the evening.
2016-10-15 16:00:00.000 +0200,Mostly Cloudy,rain,16.08888889,16.08888889,0.6,8.211,141,16.1,0,1017.5,Drizzle starting in the evening.
2016-10-15 17:00:00.000 +0200,Mostly Cloudy,rain,15.34444444,15.34444444,0.66,5.8604,120,10.5777,0,1017.74,Drizzle starting in the evening.
2016-10-15 18:00:00.000 +0200,Mostly Cloudy,rain,14.16666667,14.16666667,0.76,7.7441,117,10.2074,0,1018.37,Drizzle starting in the evening.
2016-10-15 19:00:00.000 +0200,Drizzle,rain,13.24444444,13.24444444,0.8,8.1788,123,8.05,0,1018.63,Drizzle starting in the evening.
2016-10-15 20:00:00.000 +0200,Drizzle,rain,12.68333333,12.68333333,0.82,9.9498,120,9.982,0,1018.28,Drizzle starting in the evening.
2016-10-15 21:00:00.000 +0200,Drizzle,rain,12.20555556,12.20555556,0.85,10.7387,139,9.982,0,1018.57,Drizzle starting in the evening.
2016-10-15 22:00:00.000 +0200,Drizzle,rain,12.00555556,12.00555556,0.86,10.8836,127,15.7297,0,1018.44,Drizzle starting in the evening.
2016-10-15 23:00:00.000 +0200,Drizzle,rain,11.76111111,11.76111111,0.86,10.8836,130,14.7637,0,1018.1,Drizzle starting in the evening.
2016-10-16 00:00:00.000 +0200,Drizzle,rain,11.54444444,11.54444444,0.86,7.3577,151,15.5043,0,1018.53,Drizzle until morning.
2016-10-16 01:00:00.000 +0200,Drizzle,rain,11.41666667,11.41666667,0.89,4.4114,137,9.6761,0,1018.73,Drizzle until morning.
2016-10-16 02:00:00.000 +0200,Drizzle,rain,11.39444444,11.39444444,0.89,5.6028,136,8.1466,0,1018.81,Drizzle until morning.
2016-10-16 03:00:00.000 +0200,Drizzle,rain,11.28333333,11.28333333,0.9,3.4132,143,4.9105,0,1018.67,Drizzle until morning.
2016-10-16 04:00:00.000 +0200,Drizzle,rain,10.91111111,10.91111111,0.91,3.542,150,3.9767,0,1018.83,Drizzle until morning.
2016-10-16 05:00:00.000 +0200,Drizzle,rain,10.81666667,10.81666667,0.91,4.5724,154,4.83,0,1018.92,Drizzle until morning.
2016-10-16 06:00:00.000 +0200,Drizzle,rain,10.99444444,10.99444444,0.91,2.0286,179,4.83,0,1019.14,Drizzle until morning.
2016-10-16 07:00:00.000 +0200,Drizzle,rain,10.97222222,10.97222222,0.91,2.2701,187,4.3631,0,1019.26,Drizzle until morning.
2016-10-16 08:00:00.000 +0200,Drizzle,rain,11.1,11.1,0.93,1.7388,295,2.9946,0,1019.61,Drizzle until morning.
2016-10-16 09:00:00.000 +0200,Drizzle,rain,11.41111111,11.41111111,0.93,2.4633,296,2.898,0,1019.95,Drizzle until morning.
2016-10-16 10:00:00.000 +0200,Drizzle,rain,12.35,12.35,0.88,3.4937,318,2.0769,0,1020.29,Drizzle until morning.
2016-10-16 11:00:00.000 +0200,Drizzle,rain,12.97222222,12.97222222,0.87,5.2164,333,2.254,0,1020.68,Drizzle until morning.
2016-10-16 12:00:00.000 +0200,Foggy,rain,13.60555556,13.60555556,0.88,6.6493,337,1.288,0,1020.96,Drizzle until morning.
2016-10-16 13:00:00.000 +0200,Overcast,rain,14.1,14.1,0.88,6.923,349,3.2844,0,1021.51,Drizzle until morning.
2016-10-16 14:00:00.000 +0200,Overcast,rain,14.68888889,14.68888889,0.83,8.6618,342,4.9588,0,1021.37,Drizzle until morning.
2016-10-16 15:00:00.000 +0200,Overcast,rain,14.81111111,14.81111111,0.81,10.787,347,8.05,0,1021.51,Drizzle until morning.
2016-10-16 16:00:00.000 +0200,Mostly Cloudy,rain,14.30555556,14.30555556,0.83,8.9999,355,9.9015,0,1021.72,Drizzle until morning.
2016-10-16 17:00:00.000 +0200,Mostly Cloudy,rain,14,14,0.84,8.5652,2,4.9588,0,1021.98,Drizzle until morning.
2016-10-16 18:00:00.000 +0200,Mostly Cloudy,rain,13.16666667,13.16666667,0.88,4.5563,20,7.0357,0,1022.37,Drizzle until morning.
2016-10-16 19:00:00.000 +0200,Mostly Cloudy,rain,12.68333333,12.68333333,0.91,4.1699,30,7.9695,0,1022.85,Drizzle until morning.
2016-10-16 20:00:00.000 +0200,Mostly Cloudy,rain,12.28333333,12.28333333,0.93,4.1055,31,4.7495,0,1023.36,Drizzle until morning.
2016-10-16 21:00:00.000 +0200,Mostly Cloudy,rain,12.01111111,12.01111111,0.94,5.0232,38,4.7495,0,1023.82,Drizzle until morning.
2016-10-16 22:00:00.000 +0200,Mostly Cloudy,rain,11.75555556,11.75555556,0.93,8.9033,55,4.7495,0,1024.24,Drizzle until morning.
